,Filename
0,/vctk_data/clean_trainset_28spk_wav_16k/p277_456.wav
1,/vctk_data/clean_trainset_28spk_wav_16k/p274_035.wav
2,/vctk_data/clean_trainset_28spk_wav_16k/p286_120.wav
3,/vctk_data/clean_trainset_28spk_wav_16k/p233_288.wav
4,/vctk_data/clean_trainset_28spk_wav_16k/p286_100.wav
5,/vctk_data/clean_trainset_28spk_wav_16k/p268_407.wav
6,/vctk_data/clean_trainset_28spk_wav_16k/p239_135.wav
7,/vctk_data/clean_trainset_28spk_wav_16k/p226_061.wav
8,/vctk_data/clean_trainset_28spk_wav_16k/p230_238.wav
9,/vctk_data/clean_trainset_28spk_wav_16k/p278_248.wav
10,/vctk_data/clean_trainset_28spk_wav_16k/p239_308.wav
11,/vctk_data/clean_trainset_28spk_wav_16k/p269_380.wav
12,/vctk_data/clean_trainset_28spk_wav_16k/p256_316.wav
13,/vctk_data/clean_trainset_28spk_wav_16k/p239_432.wav
14,/vctk_data/clean_trainset_28spk_wav_16k/p256_107.wav
15,/vctk_data/clean_trainset_28spk_wav_16k/p273_380.wav
16,/vctk_data/clean_trainset_28spk_wav_16k/p228_302.wav
17,/vctk_data/clean_trainset_28spk_wav_16k/p233_199.wav
18,/vctk_data/clean_trainset_28spk_wav_16k/p270_417.wav
19,/vctk_data/clean_trainset_28spk_wav_16k/p226_259.wav
20,/vctk_data/clean_trainset_28spk_wav_16k/p258_019.wav
21,/vctk_data/clean_trainset_28spk_wav_16k/p267_360.wav
22,/vctk_data/clean_trainset_28spk_wav_16k/p278_056.wav
23,/vctk_data/clean_trainset_28spk_wav_16k/p228_075.wav
24,/vctk_data/clean_trainset_28spk_wav_16k/p286_299.wav
25,/vctk_data/clean_trainset_28spk_wav_16k/p282_229.wav
26,/vctk_data/clean_trainset_28spk_wav_16k/p250_474.wav
27,/vctk_data/clean_trainset_28spk_wav_16k/p278_379.wav
28,/vctk_data/clean_trainset_28spk_wav_16k/p277_341.wav
29,/vctk_data/clean_trainset_28spk_wav_16k/p226_301.wav
30,/vctk_data/clean_trainset_28spk_wav_16k/p254_331.wav
31,/vctk_data/clean_trainset_28spk_wav_16k/p226_290.wav
32,/vctk_data/clean_trainset_28spk_wav_16k/p267_266.wav
33,/vctk_data/clean_trainset_28spk_wav_16k/p236_441.wav
34,/vctk_data/clean_trainset_28spk_wav_16k/p270_283.wav
35,/vctk_data/clean_trainset_28spk_wav_16k/p244_287.wav
36,/vctk_data/clean_trainset_28spk_wav_16k/p267_397.wav
37,/vctk_data/clean_trainset_28spk_wav_16k/p236_222.wav
38,/vctk_data/clean_trainset_28spk_wav_16k/p258_088.wav
39,/vctk_data/clean_trainset_28spk_wav_16k/p250_243.wav
40,/vctk_data/clean_trainset_28spk_wav_16k/p243_075.wav
41,/vctk_data/clean_trainset_28spk_wav_16k/p250_389.wav
42,/vctk_data/clean_trainset_28spk_wav_16k/p227_265.wav
43,/vctk_data/clean_trainset_28spk_wav_16k/p268_035.wav
44,/vctk_data/clean_trainset_28spk_wav_16k/p273_225.wav
45,/vctk_data/clean_trainset_28spk_wav_16k/p250_012.wav
46,/vctk_data/clean_trainset_28spk_wav_16k/p226_289.wav
47,/vctk_data/clean_trainset_28spk_wav_16k/p269_303.wav
48,/vctk_data/clean_trainset_28spk_wav_16k/p227_015.wav
49,/vctk_data/clean_trainset_28spk_wav_16k/p276_191.wav
50,/vctk_data/clean_trainset_28spk_wav_16k/p226_140.wav
51,/vctk_data/clean_trainset_28spk_wav_16k/p276_294.wav
52,/vctk_data/clean_trainset_28spk_wav_16k/p273_260.wav
53,/vctk_data/clean_trainset_28spk_wav_16k/p236_397.wav
54,/vctk_data/clean_trainset_28spk_wav_16k/p239_344.wav
55,/vctk_data/clean_trainset_28spk_wav_16k/p236_074.wav
56,/vctk_data/clean_trainset_28spk_wav_16k/p286_033.wav
57,/vctk_data/clean_trainset_28spk_wav_16k/p230_283.wav
58,/vctk_data/clean_trainset_28spk_wav_16k/p277_373.wav
59,/vctk_data/clean_trainset_28spk_wav_16k/p258_264.wav
60,/vctk_data/clean_trainset_28spk_wav_16k/p287_192.wav
61,/vctk_data/clean_trainset_28spk_wav_16k/p233_122.wav
62,/vctk_data/clean_trainset_28spk_wav_16k/p233_011.wav
63,/vctk_data/clean_trainset_28spk_wav_16k/p276_388.wav
64,/vctk_data/clean_trainset_28spk_wav_16k/p267_205.wav
65,/vctk_data/clean_trainset_28spk_wav_16k/p273_416.wav
66,/vctk_data/clean_trainset_28spk_wav_16k/p250_075.wav
67,/vctk_data/clean_trainset_28spk_wav_16k/p230_186.wav
68,/vctk_data/clean_trainset_28spk_wav_16k/p239_148.wav
69,/vctk_data/clean_trainset_28spk_wav_16k/p278_245.wav
70,/vctk_data/clean_trainset_28spk_wav_16k/p231_234.wav
71,/vctk_data/clean_trainset_28spk_wav_16k/p259_312.wav
72,/vctk_data/clean_trainset_28spk_wav_16k/p277_240.wav
73,/vctk_data/clean_trainset_28spk_wav_16k/p267_215.wav
74,/vctk_data/clean_trainset_28spk_wav_16k/p230_184.wav
75,/vctk_data/clean_trainset_28spk_wav_16k/p273_183.wav
76,/vctk_data/clean_trainset_28spk_wav_16k/p236_129.wav
77,/vctk_data/clean_trainset_28spk_wav_16k/p282_190.wav
78,/vctk_data/clean_trainset_28spk_wav_16k/p278_141.wav
79,/vctk_data/clean_trainset_28spk_wav_16k/p250_447.wav
80,/vctk_data/clean_trainset_28spk_wav_16k/p267_375.wav
81,/vctk_data/clean_trainset_28spk_wav_16k/p231_383.wav
82,/vctk_data/clean_trainset_28spk_wav_16k/p279_031.wav
83,/vctk_data/clean_trainset_28spk_wav_16k/p228_074.wav
84,/vctk_data/clean_trainset_28spk_wav_16k/p276_074.wav
85,/vctk_data/clean_trainset_28spk_wav_16k/p268_203.wav
86,/vctk_data/clean_trainset_28spk_wav_16k/p258_224.wav
87,/vctk_data/clean_trainset_28spk_wav_16k/p259_298.wav
88,/vctk_data/clean_trainset_28spk_wav_16k/p239_493.wav
89,/vctk_data/clean_trainset_28spk_wav_16k/p239_449.wav
90,/vctk_data/clean_trainset_28spk_wav_16k/p256_232.wav
91,/vctk_data/clean_trainset_28spk_wav_16k/p259_274.wav
92,/vctk_data/clean_trainset_28spk_wav_16k/p268_408.wav
93,/vctk_data/clean_trainset_28spk_wav_16k/p256_294.wav
94,/vctk_data/clean_trainset_28spk_wav_16k/p230_129.wav
95,/vctk_data/clean_trainset_28spk_wav_16k/p239_117.wav
96,/vctk_data/clean_trainset_28spk_wav_16k/p231_374.wav
97,/vctk_data/clean_trainset_28spk_wav_16k/p267_407.wav
98,/vctk_data/clean_trainset_28spk_wav_16k/p243_163.wav
99,/vctk_data/clean_trainset_28spk_wav_16k/p270_353.wav
100,/vctk_data/clean_trainset_28spk_wav_16k/p259_096.wav
101,/vctk_data/clean_trainset_28spk_wav_16k/p274_044.wav
102,/vctk_data/clean_trainset_28spk_wav_16k/p244_151.wav
103,/vctk_data/clean_trainset_28spk_wav_16k/p254_273.wav
104,/vctk_data/clean_trainset_28spk_wav_16k/p231_184.wav
105,/vctk_data/clean_trainset_28spk_wav_16k/p276_221.wav
106,/vctk_data/clean_trainset_28spk_wav_16k/p270_350.wav
107,/vctk_data/clean_trainset_28spk_wav_16k/p282_040.wav
108,/vctk_data/clean_trainset_28spk_wav_16k/p259_201.wav
109,/vctk_data/clean_trainset_28spk_wav_16k/p259_405.wav
110,/vctk_data/clean_trainset_28spk_wav_16k/p276_360.wav
111,/vctk_data/clean_trainset_28spk_wav_16k/p244_246.wav
112,/vctk_data/clean_trainset_28spk_wav_16k/p231_186.wav
113,/vctk_data/clean_trainset_28spk_wav_16k/p227_131.wav
114,/vctk_data/clean_trainset_28spk_wav_16k/p268_289.wav
115,/vctk_data/clean_trainset_28spk_wav_16k/p259_164.wav
116,/vctk_data/clean_trainset_28spk_wav_16k/p236_325.wav
117,/vctk_data/clean_trainset_28spk_wav_16k/p278_389.wav
118,/vctk_data/clean_trainset_28spk_wav_16k/p278_377.wav
119,/vctk_data/clean_trainset_28spk_wav_16k/p273_106.wav
120,/vctk_data/clean_trainset_28spk_wav_16k/p268_358.wav
121,/vctk_data/clean_trainset_28spk_wav_16k/p276_233.wav
122,/vctk_data/clean_trainset_28spk_wav_16k/p282_245.wav
123,/vctk_data/clean_trainset_28spk_wav_16k/p277_284.wav
124,/vctk_data/clean_trainset_28spk_wav_16k/p270_203.wav
125,/vctk_data/clean_trainset_28spk_wav_16k/p236_197.wav
126,/vctk_data/clean_trainset_28spk_wav_16k/p286_037.wav
127,/vctk_data/clean_trainset_28spk_wav_16k/p250_024.wav
128,/vctk_data/clean_trainset_28spk_wav_16k/p250_221.wav
129,/vctk_data/clean_trainset_28spk_wav_16k/p268_160.wav
130,/vctk_data/clean_trainset_28spk_wav_16k/p250_254.wav
131,/vctk_data/clean_trainset_28spk_wav_16k/p227_059.wav
132,/vctk_data/clean_trainset_28spk_wav_16k/p230_215.wav
133,/vctk_data/clean_trainset_28spk_wav_16k/p230_023.wav
134,/vctk_data/clean_trainset_28spk_wav_16k/p226_264.wav
135,/vctk_data/clean_trainset_28spk_wav_16k/p277_440.wav
136,/vctk_data/clean_trainset_28spk_wav_16k/p226_110.wav
137,/vctk_data/clean_trainset_28spk_wav_16k/p287_040.wav
138,/vctk_data/clean_trainset_28spk_wav_16k/p256_016.wav
139,/vctk_data/clean_trainset_28spk_wav_16k/p230_100.wav
140,/vctk_data/clean_trainset_28spk_wav_16k/p270_130.wav
141,/vctk_data/clean_trainset_28spk_wav_16k/p267_148.wav
142,/vctk_data/clean_trainset_28spk_wav_16k/p236_234.wav
143,/vctk_data/clean_trainset_28spk_wav_16k/p277_105.wav
144,/vctk_data/clean_trainset_28spk_wav_16k/p269_080.wav
145,/vctk_data/clean_trainset_28spk_wav_16k/p278_147.wav
146,/vctk_data/clean_trainset_28spk_wav_16k/p282_219.wav
147,/vctk_data/clean_trainset_28spk_wav_16k/p258_187.wav
148,/vctk_data/clean_trainset_28spk_wav_16k/p239_129.wav
149,/vctk_data/clean_trainset_28spk_wav_16k/p230_236.wav
150,/vctk_data/clean_trainset_28spk_wav_16k/p226_269.wav
151,/vctk_data/clean_trainset_28spk_wav_16k/p268_153.wav
152,/vctk_data/clean_trainset_28spk_wav_16k/p228_093.wav
153,/vctk_data/clean_trainset_28spk_wav_16k/p276_193.wav
154,/vctk_data/clean_trainset_28spk_wav_16k/p269_304.wav
155,/vctk_data/clean_trainset_28spk_wav_16k/p256_024.wav
156,/vctk_data/clean_trainset_28spk_wav_16k/p236_407.wav
157,/vctk_data/clean_trainset_28spk_wav_16k/p270_314.wav
158,/vctk_data/clean_trainset_28spk_wav_16k/p273_384.wav
159,/vctk_data/clean_trainset_28spk_wav_16k/p269_346.wav
160,/vctk_data/clean_trainset_28spk_wav_16k/p226_292.wav
161,/vctk_data/clean_trainset_28spk_wav_16k/p258_048.wav
162,/vctk_data/clean_trainset_28spk_wav_16k/p254_181.wav
163,/vctk_data/clean_trainset_28spk_wav_16k/p254_266.wav
164,/vctk_data/clean_trainset_28spk_wav_16k/p278_082.wav
165,/vctk_data/clean_trainset_28spk_wav_16k/p243_031.wav
166,/vctk_data/clean_trainset_28spk_wav_16k/p228_307.wav
167,/vctk_data/clean_trainset_28spk_wav_16k/p233_319.wav
168,/vctk_data/clean_trainset_28spk_wav_16k/p268_211.wav
